"sample","app_frame_records","app_deadline_misses","all_jank_records","dropped_frame_records","mean_actual_frame_ms","max_actual_frame_ms","actual_durations_ns"
23,31,13,31,0,51.350000,138.470000,"48042000,75131666,95789667,66166625,56044250,66628875,21465291,26575667,45979292,78746125,24283292,28209667,34597167,39018834,53789292,40110167,49638125,43359875,55719875,48124500,30861333,38923250,35245458,43558459,53966167,44562208,50239833,138469541,74328916,56825334,27534500"
24,17,15,17,1,103.980000,658.730000,"78457791,658729167,51266458,84113584,131584167,51592959,92502875,61937125,114040875,73125625,58510666,87971125,24333834,37489833,63264292,26182000,72630084"
25,21,12,21,0,63.600000,138.050000,"138053167,97932167,28116208,66979375,42746375,14975250,44346083,30173750,58346750,63714750,78129458,95784333,62680042,99859751,85170583,54978625,72228708,68228667,13932041,48627166,70590750"
26,14,7,14,0,60.660000,176.660000,"19198292,24055084,24280083,33172167,39045083,60844375,60908833,61831500,54212125,74581667,92577167,43180125,84723542,176657416"
27,18,6,18,0,47.870000,92.730000,"80597750,92732875,60003583,90112250,51108209,34756001,46986750,36039000,38506250,41685541,45974083,31487250,43827375,41707209,49946667,36859625,32987209,6352833"
28,45,5,45,0,33.520000,70.690000,"35189959,43580458,70690041,58584625,19772458,32581792,28993250,43471417,43931542,27801333,51755917,69366833,37120042,30337083,34392583,31840666,29992667,40357041,34739458,33491959,25960250,27511626,30554001,23749667,32425042,26140708,27375375,29419041,27379834,23925041,24953917,23474250,31361625,24016583,34785917,36968875,33247041,21782208,28124208,28731667,30424625,26200375,31789041,30551750,29750417"
29,49,3,49,0,30.200000,62.180000,"17284625,24939792,27013958,62175042,31578417,32304625,37233083,25818709,32860083,25701875,31965750,32782750,33086583,36632417,40767792,42968000,31212125,22750583,26197958,24096625,27945833,25718250,26793417,24971750,24606625,25750125,26909000,25974792,25454250,28915375,27865875,25502083,38278334,27075709,25880500,25302875,19921292,23755583,29594209,44910125,33021208,29360875,30790500,37370167,30923416,41164584,31803334,38249416,16378875"
30,18,15,17,0,63.890000,95.470000,"15357959,28658666,51836417,31341125,41716750,71334292,76034333,82622625,88373834,92956584,95469958,88544292,95358542,51078583,63586417,89919375,44888583,41009125"
31,22,9,22,0,67.090000,161.680000,"31460459,127408709,161682667,69996750,82156875,115765375,57514208,28318833,38074708,48798708,60185167,54272750,43564958,58167125,48271042,46977417,59535208,58638833,58346667,56186667,71931250,98795042"
32,14,12,14,0,74.050000,167.620000,"12118834,40550917,80802375,24579000,120317376,45946084,50695083,78348334,81103833,55655917,95484500,93036792,90462958,167622750"
33,19,6,18,0,42.730000,103.410000,"103413458,60898708,42491125,69167583,69346334,46288459,20932709,38432833,40607959,46204833,37250625,41852375,49575209,35062000,34545041,32371708,26734041,5592166,11150125"
34,42,1,42,0,36.200000,54.580000,"9676708,42479458,22153166,38718750,51505292,49884542,25841958,30068541,37288625,42828417,31074417,29014750,30060000,23442792,25534833,26449500,32644000,35351750,39633500,29278250,36018625,48536041,36823334,35179833,30019625,39208125,54580875,46413459,47064083,40169541,40721292,38846792,39936084,39680500,33802792,44205041,53565333,37430291,44895333,26391125,26041167,27898958"
35,48,4,48,0,25.720000,87.510000,"42418000,62248375,87507250,32237709,41354333,42030667,31437792,60985333,18646041,11064542,19228750,17537875,15690459,14852708,15468917,14689500,18412708,14075500,14868042,13501667,15000042,14588292,15388125,14058666,15285916,15348209,18391417,18261084,30597834,30942125,31481000,31066667,23488417,31127084,18741875,18090916,20988751,31504917,27897375,22578917,24912791,32388791,26170500,24884167,30766959,26790875,29621375,6136666"
