"sample","name","cpu_ms"
8,"hwuiTask0",7.767917
8,"Measurement Wor",6.363753
8,"hwuiTask1",4.254042
8,"mqt_v_native",3.752375
8,"HeapTaskDaemon",2.050417
8,"queued-work-loo",1.915541
8,"ncFunctionQueue",1.559251
8,"Firebase Backgr",1.447998
8,"binder:28205_2",1.293792
8,"GPU completion",1.178084
8,"DefaultDispatch",0.999002
8,"OkHttp TaskRunn",0.788959
8,"CookieMonsterCl",0.551957
8,"binder:28205_5",0.494499
8,"ScionFrontendAp",0.252292
8,"binder:28205_1",0.142539
8,"Firebase Blocki",0.115459
8,"HWC release",0.046833
8,"binder:28205_4",0.008251
9,"RenderThread",547.135085
9,"mqt_v_js",256.480499
9,"oelseisfree.app",149.624495
9,"HeapTaskDaemon",68.330080
9,".0.2.2:8093/...",23.276498
9,"Jit thread pool",18.679750
9,"HybridData Dest",14.451125
9,"mqt_v_native",10.114709
9,"ReferenceQueueD",9.817999
9,"Measurement Wor",6.784247
9,"ScionFrontendAp",3.067333
9,"binder:28205_5",1.647333
9,"binder:28205_2",1.618336
9,"Firebase Backgr",1.607626
9,"GPU completion",1.561331
9,"queued-work-loo",1.451042
9,"DefaultDispatch",1.218708
9,"binder:28205_1",1.163126
9,"OkHttp TaskRunn",0.902751
9,"hwuiTask1",0.870749
9,"CookieMonsterCl",0.518126
9,"FinalizerDaemon",0.411042
9,"HWC release",0.377375
9,"hwuiTask0",0.350459
9,"binder:28205_4",0.197083
9,"FinalizerWatchd",0.188917
9,"Firebase Blocki",0.122457
9,"Expo JNI deallo",0.071250
9,"Profile Saver",0.020083
10,"RenderThread",648.815963
10,"mqt_v_js",323.290665
10,"oelseisfree.app",247.382080
10,".0.2.2:8093/...",19.087587
10,"glide-disk-cach",12.111837
10,"Measurement Wor",10.717247
10,"Jit thread pool",10.337626
10,"binder:28205_5",6.712334
10,"Firebase Backgr",5.305915
10,"DefaultDispatch",4.500416
10,"mqt_v_native",3.531544
