"sample","name","cpu_ms"
9,"queued-work-loo",1.289250
9,"Firebase Blocki",0.857459
9,"OkHttp TaskRunn",0.806417
9,"ScionFrontendAp",0.725417
9,"hwuiTask1",0.603959
9,"hwuiTask0",0.524750
9,"GPU completion",0.477332
9,"binder:24460_2",0.367749
9,"HWC release",0.246706
9,"binder:24460_3",0.163251
9,"FinalizerWatchd",0.102208
9,"binder:24460_1",0.068624
9,"binder:24460_4",0.040500
10,"RenderThread",294.856965
10,"mqt_v_js",278.876833
10,"oelseisfree.app",254.443707
10,"hades",22.006002
10,".0.2.2:8093/...",15.635378
10,"glide-disk-cach",13.685373
10,"Jit thread pool",11.004418
10,"Measurement Wor",8.153373
10,"mqt_v_native",4.301707
10,"DefaultDispatch",2.892462
10,"binder:24460_5",1.911665
10,"Firebase Backgr",1.895624
10,"ncFunctionQueue",1.730042
10,"OkHttp TaskRunn",1.140958
10,"binder:24460_1",1.064332
10,"queued-work-loo",1.021042
10,"hwuiTask1",0.930335
10,"HWC release",0.865376
10,"GPU completion",0.733549
10,"binder:24460_2",0.709210
10,"hwuiTask0",0.613416
10,"CookieMonsterCl",0.550166
10,"ScionFrontendAp",0.353917
10,"Firebase Blocki",0.272041
10,"binder:24460_3",0.231713
11,"mqt_v_js",201.420785
11,"RenderThread",193.391042
11,"oelseisfree.app",131.057501
11,"hades",121.009248
11,"HeapTaskDaemon",105.021289
11,"HybridData Dest",23.809875
11,"Measurement Wor",16.942877
11,".0.2.2:8093/...",16.471461
11,"mqt_v_native",15.766753
11,"Firebase Backgr",11.122083
11,"Jit thread pool",10.468041
11,"ReferenceQueueD",9.368501
11,"binder:24460_5",4.920373
11,"DefaultDispatch",2.881041
11,"queued-work-loo",1.415083
11,"OkHttp TaskRunn",1.042956
11,"hwuiTask1",0.787376
11,"GPU completion",0.520875
11,"hwuiTask0",0.486000
11,"CookieMonsterCl",0.456500
11,"ScionFrontendAp",0.399334
11,"binder:24460_3",0.381251
11,"FinalizerDaemon",0.379166
11,"FinalizerWatchd",0.326125
11,"binder:24460_2",0.257999
11,"Firebase Blocki",0.251209
11,"Expo JNI deallo",0.182791
11,"HWC release",0.058584
11,"binder:24460_1",0.051416
12,"RenderThread",404.976417
12,"mqt_v_js",288.173585
12,"oelseisfree.app",237.468215
12,"Jit thread pool",36.935580
12,"Profile Saver",33.470047
12,"glide-disk-cach",27.880911
12,".0.2.2:8093/...",16.327374
