"sample","app_frame_records","app_deadline_misses","all_jank_records","dropped_frame_records","mean_actual_frame_ms","max_actual_frame_ms","actual_durations_ns"
23,48,5,47,0,30.420000,89.550000,"8296750,21031750,10638208,20112000,89547917,36796041,34042084,52527084,36733625,31147958,83791875,35925958,44101791,29162000,34632500,33751958,45597541,26746542,48390083,23057083,26823875,33786958,27757625,32519500,35237042,28979542,20549416,29008417,24930500,21217333,23891875,25473458,27137500,22850500,29072792,24854750,22784292,26631959,24698167,21688416,29379208,25978125,22143458,22209709,32078625,20226875,22984833,9404500"
24,26,8,26,0,48.100000,79.240000,"58087083,54644375,73974542,29708375,34664459,29743750,39995625,36110542,37475458,50148500,79243125,58614542,52594458,52019166,48892334,48604833,50453542,46190209,47454250,48165917,46674208,50318500,37485167,40706375,40617792,58060458"
25,23,8,23,0,46.950000,64.110000,"19668417,47199625,64110584,26782417,18952916,41005875,23456000,37917041,45956708,32427459,47595666,57059375,53262792,52568667,56995084,55951750,52218041,59882833,52953333,56143083,54899083,59440584,63349334"
26,17,6,17,0,44.120000,69.990000,"23403916,15329750,28372542,69987250,35783250,42220667,29547500,41132917,45279917,55502875,52373375,57985375,42381708,58542250,64167667,28553750,59426708"
27,20,6,20,0,40.940000,76.230000,"38751792,76232209,58559167,44585500,53350000,53390542,43242750,41363958,45888459,36995000,31521750,33969208,34842250,35055292,35506500,40391667,32718917,41030166,32655542,8702458"
28,46,7,46,0,34.560000,60.550000,"18408375,43184125,60552459,60329083,40895458,30316833,24099417,38478833,24843875,39497083,38292166,30503875,32498625,40580083,56836458,28027666,41883417,46132167,51880667,41475167,31797042,38635041,50784125,28444000,35962250,33203917,25594917,37574083,24394792,27410917,31276333,27400584,24263166,23443917,31040458,26987500,32692000,31316875,25060708,33880750,33628084,32843000,27941084,24580916,29711125,31076125"
29,48,2,48,0,27.760000,97.080000,"14320458,8516333,9790250,97080583,28200167,25443375,37335208,33076792,32735208,32333250,33235041,29776708,26572541,33132583,27848583,44284750,31884667,37997875,24039916,32501083,27368167,30205584,47294750,33037125,33177833,31333417,28462458,37437250,26981583,24753875,29272792,24084208,27323333,24069875,22530250,27260208,30554541,23243792,16675792,16526209,15982333,16613041,15811333,15679459,15504375,17919250,16090708,17007708"
30,30,20,30,0,52.220000,103.420000,"34486625,76762667,71308083,66342459,46037917,18109417,46672083,63762625,73187125,58625917,75693167,88855333,42064583,69882417,63793916,100672625,103418209,57872542,37054500,23556083,12451209,29856958,31341042,40266917,34133458,47173875,34335583,46343959,36933833,35462083"
31,21,7,21,0,56.100000,142.490000,"46298000,110321875,142486625,51550000,40261917,37958500,21448083,23660875,39279959,56700959,58983834,52736583,55956959,54331333,55717125,60876375,53378125,52511750,52911000,52778833,58024458"
32,16,7,16,0,50.470000,75.390000,"35498209,9644333,46680250,67422042,35452958,55615625,61570625,54449667,56972083,47864000,60759917,55672709,55893167,60189542,28389917,75388292"
33,19,4,19,0,43.180000,89.450000,"48123000,89452917,57194417,82850917,60973209,40256500,34092083,39999000,35277167,33110208,40067834,29770542,37597542,39741667,37014333,38592875,44153667,26117250,6101833"
34,42,5,42,0,35.380000,57.670000,"15962083,36424625,29749792,46262083,22267792,35991791,47687167,26797208,46815584,35106541,39803333,30033583,29355542,23834334,25910917,26243125,34214125,34738667,32139083,40024292,42340792,31623875,57666208,39557333,49200958,55143250,42813542,37383375,39065875,48700417,33042250,37873791,25312042,35389000,31160792,31366125,36622375,26285417,33593750,31656084,35943000,24682750"
35,53,2,52,0,27.370000,57.650000,"14806333,22139791,11418042,57650667,24737208,19492542,36902333,26897875,29829958,23056083,24671792,24451875,24167709,26933791,24491250,40053000,37504500,36798042,28220958,26876042,23434291,30617959,26542334,25008875,23551166,28507125,21530542,31647125,26415375,30292792,30066458,29319417,29846125,28123833,24871208,23995250,33129542,31598500,20561750,23260375,23635958,23788208,27910833,29841125,32570125,31031541,30202083,29505250,22797459,24772291,21984375,23314375,25871458"
