"tid","name","ts","dur","state","io_wait","blocked_function"
23055,"MainThread",54815857984092,29000,"Running","[NULL]","[NULL]"
23055,"MainThread",54815858013092,16532334,"S","[NULL]","[NULL]"
23055,"MainThread",54815874545426,54875,"R","[NULL]","[NULL]"
23055,"MainThread",54815874600301,131708,"Running","[NULL]","[NULL]"
23055,"MainThread",54815874732009,11375,"R+","[NULL]","[NULL]"
23055,"MainThread",54815874743384,22833,"Running","[NULL]","[NULL]"
23055,"MainThread",54815874766217,16418500,"S","[NULL]","[NULL]"
23055,"MainThread",54815891184717,24709,"R","[NULL]","[NULL]"
23055,"MainThread",54815891209426,129083,"Running","[NULL]","[NULL]"
23055,"MainThread",54815891338509,819125,"R+","[NULL]","[NULL]"
23055,"MainThread",54815892157634,55333,"Running","[NULL]","[NULL]"
23055,"MainThread",54815892212967,15689417,"S","[NULL]","[NULL]"
23055,"MainThread",54815907902384,25667,"R","[NULL]","[NULL]"
23055,"MainThread",54815907928051,225625,"Running","[NULL]","[NULL]"
23055,"MainThread",54815908153676,172916,"R+","[NULL]","[NULL]"
23055,"MainThread",54815908326592,39625,"Running","[NULL]","[NULL]"
23055,"MainThread",54815908366217,14624500,"S","[NULL]","[NULL]"
23055,"MainThread",54815922990717,498000,"R","[NULL]","[NULL]"
23055,"MainThread",54815923488717,247792,"Running","[NULL]","[NULL]"
23055,"MainThread",54815923736509,3522750,"R","[NULL]","[NULL]"
23055,"MainThread",54815927259259,265917,"Running","[NULL]","[NULL]"
23055,"MainThread",54815927525176,1015750,"R","[NULL]","[NULL]"
23055,"MainThread",54815928540926,3542000,"Running","[NULL]","[NULL]"
23055,"MainThread",54815932082926,7430833,"R","[NULL]","[NULL]"
23055,"MainThread",54815939513759,440458,"Running","[NULL]","[NULL]"
23055,"MainThread",54815939954217,1067584,"R","[NULL]","[NULL]"
23055,"MainThread",54815941021801,3032750,"Running","[NULL]","[NULL]"
23055,"MainThread",54815944054551,4005791,"R","[NULL]","[NULL]"
23055,"MainThread",54815948060342,1926542,"Running","[NULL]","[NULL]"
23055,"MainThread",54815949986884,384917,"D","[NULL]","[NULL]"
23055,"MainThread",54815950371801,1684833,"R","[NULL]","[NULL]"
23055,"MainThread",54815952056634,1404083,"Running","[NULL]","[NULL]"
23055,"MainThread",54815953460717,1391792,"S","[NULL]","[NULL]"
23055,"MainThread",54815954852509,7167,"R","[NULL]","[NULL]"
23055,"MainThread",54815954859676,777583,"Running","[NULL]","[NULL]"
23055,"MainThread",54815955637259,71000,"R","[NULL]","[NULL]"
23055,"MainThread",54815955708259,152208,"Running","[NULL]","[NULL]"
23055,"MainThread",54815955860467,33250,"R","[NULL]","[NULL]"
23055,"MainThread",54815955893717,727334,"Running","[NULL]","[NULL]"
23055,"MainThread",54815956621051,78875,"R","[NULL]","[NULL]"
23055,"MainThread",54815956699926,9475000,"Running","[NULL]","[NULL]"
23104,"RenderThread",54815965754092,165959,"R","[NULL]","[NULL]"
23104,"RenderThread",54815965920051,131125,"Running","[NULL]","[NULL]"
23104,"RenderThread",54815966051176,3829000,"S","[NULL]","[NULL]"
23055,"MainThread",54815966174926,373583,"D","[NULL]","[NULL]"
23055,"MainThread",54815966548509,81667,"R","[NULL]","[NULL]"
23055,"MainThread",54815966630176,201750,"Running","[NULL]","[NULL]"
23055,"MainThread",54815966831926,269250,"D","[NULL]","[NULL]"
23055,"MainThread",54815967101176,128958,"R","[NULL]","[NULL]"
23055,"MainThread",54815967230134,339000,"Running","[NULL]","[NULL]"
23055,"MainThread",54815967569134,835958,"R+","[NULL]","[NULL]"
23055,"MainThread",54815968405092,79000,"Running","[NULL]","[NULL]"
23055,"MainThread",54815968484092,105667,"R+","[NULL]","[NULL]"
23055,"MainThread",54815968589759,288833,"Running","[NULL]","[NULL]"
23055,"MainThread",54815968878592,39459,"R+","[NULL]","[NULL]"
23055,"MainThread",54815968918051,161958,"Running","[NULL]","[NULL]"
23055,"MainThread",54815969080009,26375,"R","[NULL]","[NULL]"
23055,"MainThread",54815969106384,805708,"Running","[NULL]","[NULL]"
23113,"mqt_v_js",54815969245759,666333,"R","[NULL]","[NULL]"
23104,"RenderThread",54815969880176,135875,"R","[NULL]","[NULL]"
23055,"MainThread",54815969912092,7067417,"S","[NULL]","[NULL]"
23113,"mqt_v_js",54815969912092,476000,"Running","[NULL]","[NULL]"
23104,"RenderThread",54815970016051,296208,"Running","[NULL]","[NULL]"
23104,"RenderThread",54815970312259,48792,"R","[NULL]","[NULL]"
23104,"RenderThread",54815970361051,173750,"Running","[NULL]","[NULL]"
23113,"mqt_v_js",54815970388092,106834,"R","[NULL]","[NULL]"
23113,"mqt_v_js",54815970494926,2805250,"Running","[NULL]","[NULL]"
23104,"RenderThread",54815970534801,3708,"R","[NULL]","[NULL]"
23104,"RenderThread",54815970538509,2881583,"Running","[NULL]","[NULL]"
23113,"mqt_v_js",54815973300176,89541,"R","[NULL]","[NULL]"
23113,"mqt_v_js",54815973389717,532542,"Running","[NULL]","[NULL]"
23104,"RenderThread",54815973420092,47084,"R","[NULL]","[NULL]"
23104,"RenderThread",54815973467176,593000,"Running","[NULL]","[NULL]"
23113,"mqt_v_js",54815973922259,73167,"R+","[NULL]","[NULL]"
23113,"mqt_v_js",54815973995426,412958,"Running","[NULL]","[NULL]"
23104,"RenderThread",54815974060176,1270500,"R","[NULL]","[NULL]"
23113,"mqt_v_js",54815974408384,3502333,"R","[NULL]","[NULL]"
23104,"RenderThread",54815975330676,223750,"Running","[NULL]","[NULL]"
23104,"RenderThread",54815975554426,682750,"R","[NULL]","[NULL]"
23104,"RenderThread",54815976237176,285458,"Running","[NULL]","[NULL]"
23104,"RenderThread",54815976522634,151875,"R","[NULL]","[NULL]"
23104,"RenderThread",54815976674509,968292,"Running","[NULL]","[NULL]"
23055,"MainThread",54815976979509,1806292,"R","[NULL]","[NULL]"
23104,"RenderThread",54815977642801,31875,"R","[NULL]","[NULL]"
23104,"RenderThread",54815977674676,592500,"Running","[NULL]","[NULL]"
23113,"mqt_v_js",54815977910717,386500,"Running","[NULL]","[NULL]"
23104,"RenderThread",54815978267176,149000,"R","[NULL]","[NULL]"
23113,"mqt_v_js",54815978297217,801875,"R","[NULL]","[NULL]"
23104,"RenderThread",54815978416176,647458,"Running","[NULL]","[NULL]"
23055,"MainThread",54815978785801,271458,"Running","[NULL]","[NULL]"
23055,"MainThread",54815979057259,9936167,"S","[NULL]","[NULL]"
23104,"RenderThread",54815979063634,20000,"R","[NULL]","[NULL]"
23104,"RenderThread",54815979083634,3559500,"Running","[NULL]","[NULL]"
23113,"mqt_v_js",54815979099092,466625,"Running","[NULL]","[NULL]"
23113,"mqt_v_js",54815979565717,35799500,"S","[NULL]","[NULL]"
23104,"RenderThread",54815982643134,284292,"D","[NULL]","[NULL]"
23104,"RenderThread",54815982927426,6375,"R","[NULL]","[NULL]"
23104,"RenderThread",54815982933801,1157833,"Running","[NULL]","[NULL]"
23104,"RenderThread",54815984091634,13000,"R+","[NULL]","[NULL]"
23104,"RenderThread",54815984104634,3147667,"Running","[NULL]","[NULL]"
23104,"RenderThread",54815987252301,341916,"R+","[NULL]","[NULL]"
23104,"RenderThread",54815987594217,1727667,"Running","[NULL]","[NULL]"
23055,"MainThread",54815988993426,112416,"R","[NULL]","[NULL]"
23055,"MainThread",54815989105842,66375,"Running","[NULL]","[NULL]"
23055,"MainThread",54815989172217,2178459,"S","[NULL]","[NULL]"
23104,"RenderThread",54815989321884,442402959,"S","[NULL]","[NULL]"
23055,"MainThread",54815991350676,2592375,"R","[NULL]","[NULL]"
23055,"MainThread",54815993943051,511791,"Running","[NULL]","[NULL]"
23055,"MainThread",54815994454842,1033834,"R","[NULL]","[NULL]"
23055,"MainThread",54815995488676,346916,"Running","[NULL]","[NULL]"
23055,"MainThread",54815995835592,615000,"R","[NULL]","[NULL]"
23055,"MainThread",54815996450592,560209,"Running","[NULL]","[NULL]"
23055,"MainThread",54815997010801,3424958,"S","[NULL]","[NULL]"
23055,"MainThread",54816000435759,3208125,"R","[NULL]","[NULL]"
23055,"MainThread",54816003643884,2033042,"Running","[NULL]","[NULL]"
23055,"MainThread",54816005676926,4652375,"R","[NULL]","[NULL]"
23055,"MainThread",54816010329301,4555125,"Running","[NULL]","[NULL]"
23055,"MainThread",54816014884426,81791,"R+","[NULL]","[NULL]"
23055,"MainThread",54816014966217,423292,"Running","[NULL]","[NULL]"
23113,"mqt_v_js",54816015365217,24292,"R","[NULL]","[NULL]"
23055,"MainThread",54816015389509,11666292,"S","[NULL]","[NULL]"
23113,"mqt_v_js",54816015389509,1361958,"Running","[NULL]","[NULL]"
23113,"mqt_v_js",54816016751467,163459,"R+","[NULL]","[NULL]"
