"name","ts","dur","tid","thread_name","is_main_thread"
"DrawFrames 12764459",54818205370885,49649083,23104,"RenderThread",0
"[ExpoImage] onResourceReady",54818217006010,760750,23055,"oelseisfree.app",1
"IntBufferBatchMountItem::mountViews",54818231317760,6986417,23055,"oelseisfree.app",1
"postAndWait",54818239534510,16987083,23055,"oelseisfree.app",1
"DrawFrames 12764466",54818255034427,57284041,23104,"RenderThread",0
"IntBufferBatchMountItem::mountViews",54818360274885,12699958,23055,"oelseisfree.app",1
"postAndWait",54818375485968,1135125,23055,"oelseisfree.app",1
"DrawFrames 12764517",54818375594218,3910292,23104,"RenderThread",0
"IntBufferBatchMountItem::mountViews",54818379746177,4548958,23055,"oelseisfree.app",1
"postAndWait",54818385142052,759416,23055,"oelseisfree.app",1
"DrawFrames 12764524",54818385158968,28508834,23104,"RenderThread",0
"IntBufferBatchMountItem::mountViews",54818394253343,558792,23055,"oelseisfree.app",1
"postAndWait",54818395104552,19088958,23055,"oelseisfree.app",1
"DrawFrames 12764532",54818413679927,78855500,23104,"RenderThread",0
"IntBufferBatchMountItem::mountViews",54818415607260,779875,23055,"oelseisfree.app",1
"postAndWait",54818416758635,76322667,23055,"oelseisfree.app",1
"DrawFrames 12764539",54818492549135,26829792,23104,"RenderThread",0
"IntBufferBatchMountItem::mountViews",54818494233135,441625,23055,"oelseisfree.app",1
"postAndWait",54818494933760,25204459,23055,"oelseisfree.app",1
"DrawFrames 12764547",54818519392010,23576584,23104,"RenderThread",0
"IntBufferBatchMountItem::mountViews",54818522017427,631125,23055,"oelseisfree.app",1
"postAndWait",54818523041344,22420583,23055,"oelseisfree.app",1
"DrawFrames 12764555",54818542978677,17492792,23104,"RenderThread",0
"IntBufferBatchMountItem::mountViews",54818546298510,285750,23055,"oelseisfree.app",1
"postAndWait",54818546768385,14251209,23055,"oelseisfree.app",1
"DrawFrames 12764563",54818560604385,34062625,23104,"RenderThread",0
"IntBufferBatchMountItem::mountViews",54818561746135,282667,23055,"oelseisfree.app",1
"postAndWait",54818562202219,34077583,23055,"oelseisfree.app",1
"DrawFrames 12764572",54818594678677,15992958,23104,"RenderThread",0
"IntBufferBatchMountItem::mountViews",54818599519802,336125,23055,"oelseisfree.app",1
"postAndWait",54818600123094,16022750,23055,"oelseisfree.app",1
"DrawFrames 12764580",54818610677927,20939375,23104,"RenderThread",0
"IntBufferBatchMountItem::mountViews",54818616950385,277917,23055,"oelseisfree.app",1
"postAndWait",54818617400177,14929625,23055,"oelseisfree.app",1
"DrawFrames 12764589",54818631631385,27909000,23104,"RenderThread",0
"IntBufferBatchMountItem::mountViews",54818633144219,350625,23055,"oelseisfree.app",1
"postAndWait",54818633685760,33187750,23055,"oelseisfree.app",1
"DrawFrames 12764597",54818659554510,18216459,23104,"RenderThread",0
"IntBufferBatchMountItem::mountViews",54818667840594,725916,23055,"oelseisfree.app",1
"postAndWait",54818668786219,15575000,23055,"oelseisfree.app",1
"DrawFrames 12764605",54818677778844,17757625,23104,"RenderThread",0
"IntBufferBatchMountItem::mountViews",54818685193135,365875,23055,"oelseisfree.app",1
"postAndWait",54818685765094,12234708,23055,"oelseisfree.app",1
"DrawFrames 12764614",54818695548219,17413791,23104,"RenderThread",0
"IntBufferBatchMountItem::mountViews",54818701214719,314583,23055,"oelseisfree.app",1
"postAndWait",54818701724469,11726250,23055,"oelseisfree.app",1
"DrawFrames 12764622",54818712970385,30216084,23104,"RenderThread",0
"IntBufferBatchMountItem::mountViews",54818714561177,620333,23055,"oelseisfree.app",1
"postAndWait",54818715493594,35699458,23055,"oelseisfree.app",1
"DrawFrames 12764630",54818743197719,22076708,23104,"RenderThread",0
"IntBufferBatchMountItem::mountViews",54818752955260,387125,23055,"oelseisfree.app",1
"postAndWait",54818753633719,20306875,23055,"oelseisfree.app",1
"DrawFrames 12764638",54818765291052,31584708,23104,"RenderThread",0
"IntBufferBatchMountItem::mountViews",54818775197302,289500,23055,"oelseisfree.app",1
"postAndWait",54818775722802,24839458,23055,"oelseisfree.app",1
"DrawFrames 12764647",54818796895427,24075125,23104,"RenderThread",0
"IntBufferBatchMountItem::mountViews",54818893764885,35060542,23055,"oelseisfree.app",1
"postAndWait",54818930084885,1759375,23055,"oelseisfree.app",1
"DrawFrames 12764702",54818930109052,6125917,23104,"RenderThread",0
"postAndWait",54818935447135,4105584,23055,"oelseisfree.app",1
"DrawFrames 12764717",54818936582885,8461042,23104,"RenderThread",0
"IntBufferBatchMountItem::mountViews",54818975164385,2099500,23055,"oelseisfree.app",1
"postAndWait",54818977670177,2231042,23055,"oelseisfree.app",1
"DrawFrames 12764755",54818977687010,13696250,23104,"RenderThread",0
"postAndWait",54819816656386,3028208,23055,"oelseisfree.app",1
"DrawFrames 12765167",54819816674344,8101333,23104,"RenderThread",0
"IntBufferBatchMountItem::mountViews",54820112929303,99271666,23055,"oelseisfree.app",1
"postAndWait",54820248516303,8649666,23055,"oelseisfree.app",1
"DrawFrames 12765295",54820251131803,19444333,23104,"RenderThread",0
"[ExpoImage] onResourceReady",54820257322053,1282416,23055,"oelseisfree.app",1
"[ExpoImage] onResourceReady",54820258616386,151333,23055,"oelseisfree.app",1
"IntBufferBatchMountItem::mountViews",54820260378344,2193042,23055,"oelseisfree.app",1
"IntBufferBatchMountItem::mountViews",54820262583261,1685000,23055,"oelseisfree.app",1
"IntBufferBatchMountItem::mountViews",54820264275428,4306750,23055,"oelseisfree.app",1
"IntBufferBatchMountItem::mountViews",54820268589053,912666,23055,"oelseisfree.app",1
