"sample","presented_frame_records","app_deadline_misses","all_jank_records","mean_actual_frame_ms","max_actual_frame_ms"
0,9,8,9,157.610000,249.520000
1,40,13,40,56.820000,124.420000
2,42,8,42,54.300000,79.190000
3,42,17,42,54.360000,90.500000
4,40,22,40,57.820000,83.750000
5,41,13,41,54.260000,79.810000
6,30,16,30,57.430000,96.590000
