"sample","app_frame_records","app_deadline_misses","all_jank_records","dropped_frame_records","mean_actual_frame_ms","max_actual_frame_ms","actual_durations_ns"
22,47,4,47,0,32.400000,47.880000,"19977667,46046917,31715584,33387875,28795000,27246917,29966125,30509667,29736541,29698417,31247042,29135625,32984833,36345875,34220625,22774625,22147166,30056416,23665541,32303709,34021292,41716208,46299292,25786083,24538125,26722125,26805375,33458208,31268667,28906833,34102458,27274125,39762292,29908541,39601833,33891958,40101167,38398417,43805375,40272958,47878333,34972958,43177500,23526333,23277375,29189042,32217500"
23,56,4,55,0,26.930000,49.730000,"12556209,49732292,32773959,46746500,31118000,26814458,28565375,26370000,24081625,25922167,29206875,28262917,26780417,25938542,25200416,22563458,24880333,33192584,24594459,23829708,23751208,25283833,32834292,27720917,27011208,21512458,26532291,24691583,33553333,27139500,21587708,25671417,21485291,28180167,22962250,24707292,24488958,27301666,30752209,24006875,29108167,27053958,29407083,27018709,21317291,21911583,29624625,23174750,30980750,24670625,31838792,28920292,32418833,25584917,28869250,6024500"
24,30,18,30,0,47.410000,85.980000,"10372875,11762667,23917166,63589125,55719875,57154333,41719666,52991208,22505000,33657166,52791916,54001667,85981417,72961125,65207459,70427084,82599792,67496291,36077417,54250750,64246792,40923667,40576541,41094250,36689042,43196125,34963125,42276625,32041626,31221875"
25,22,7,22,0,51.330000,93.770000,"26846000,82057209,58694375,24093708,12849125,41849375,26193166,32242542,72266459,93771417,58832333,36234834,57394375,46214875,54728541,56353166,55294875,58537833,58447000,55582291,62497042,58225833"
26,17,8,17,0,58.910000,126.230000,"14401958,58442208,57983292,43284208,69393958,35046250,34927667,42597417,59201250,55909333,60476041,60026084,58433041,100405834,67708959,57060292,126225083"
27,18,5,18,0,43.970000,86.520000,"56250750,68739916,86521250,60489750,62430750,44570959,36118541,30685417,31195709,39149875,37244750,35068000,40323708,36694792,40469458,47999875,31128541,6413250"
28,49,7,49,0,34.250000,54.810000,"32261209,29552542,41242958,40386209,31621208,46941750,54808792,28305041,35783167,38587709,40066208,33821291,37116208,28451916,34102375,45345833,27561125,25517041,36262000,36722083,34719125,21455500,33606167,33537709,32784166,23140083,27832167,29055625,28320417,27563792,30840291,32472584,34197208,29320584,38159292,36737792,45346792,31694667,37191416,38395375,31672750,32785625,31847375,38078875,25405542,37122500,36469333,41093334,32936292"
29,48,4,48,0,30.600000,59.850000,"12526708,26598750,46051541,22180167,32891250,41100125,29951792,31921334,30272416,30711208,31266375,30142625,22361208,30145125,28661334,23264125,30915375,24269959,23452208,28889791,26637083,27862875,26887166,34771208,23340500,31863042,26010958,24403833,25443375,29374375,34096500,28907333,43697458,48831958,59851625,31666375,41067541,37136042,26512708,28956875,45904750,31775708,44300250,51189125,13758209,17200833,18818375,10772375"
30,22,13,21,0,49.000000,81.780000,"19035458,40710417,20730250,55747917,17362042,9040167,48285291,47226500,68645708,81783542,59303459,44451041,61456500,51483625,47795541,57444458,75776583,76548292,67354250,54865792,36123834,36740583"
31,23,11,23,0,54.500000,128.540000,"38570375,128538125,106277875,22800541,37218958,67808833,37902875,30117875,15194500,40828000,56749500,53663125,55351125,56011875,57022917,56406541,55956708,58680958,45311333,57185958,37123000,69294625,69540458"
32,15,13,15,0,57.480000,84.640000,"41392209,13914292,72253667,62940875,84635625,52423125,60979041,60978292,57411833,78627250,73578875,41719875,68434083,30326917,62635583"
33,20,6,20,0,44.620000,80.770000,"63108041,45011292,46226125,80767042,60870875,40662709,35318875,32822917,27592459,40026875,60385708,41622333,40871833,49619833,38789167,48485458,40904875,36251250,43005584,20097416"
34,50,4,50,0,29.590000,101.460000,"8220292,6861958,23121459,23142125,101456666,78259834,9902083,13887167,13731375,13448250,29637334,18449625,24186291,36378375,35194958,33180500,29815333,34974042,33607583,21049833,23700958,31733375,27508500,29653708,24872208,28569333,22566792,31242041,31530875,26849541,25421208,26031458,31420791,30228708,31718125,39689500,34613208,35914417,29789166,33568750,25547000,28050417,31509875,24878125,35812333,28873084,35491959,29770750,24402125,29984000"
35,49,3,49,0,29.630000,45.230000,"13442042,24296625,13528500,37300166,32413417,16008083,14698000,18119833,18404875,22848541,28498959,29519833,26071250,23554167,25931125,33103792,30251125,30203833,41409541,28544708,30006417,31547750,28366125,25271416,32339208,27644125,21307083,27560958,32934042,30643958,39627500,29983583,43516333,43820208,29647500,43256791,25979291,33039583,40577375,37837292,29098708,45225333,22830667,23412791,33866416,34544042,44075208,33268542,22442583"
