"id","name","ts","dur","track","type"
39421,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=false,force=false)",53020766585820,25375,"[NULL]","thread_execution"
39457,"JIT compiling void expo.modules.image.ExpoImageViewWrapper.rerenderIfNeeded$expo_image_release(boolean, boolean) (kind=Baseline) from /data/app/~~klXCJdNpBSfzhFTgn3sAag==/com.whoelseisfree.app-kZvEDK33bKX4u3y-NATdTQ==/base.apk!classes3.dex",53020769227861,582105501,"[NULL]","thread_execution"
39463,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=false,force=false)",53020773325236,31084,"[NULL]","thread_execution"
39474,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=false,force=false)",53020774261403,14458,"[NULL]","thread_execution"
40405,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=false,force=false)",53020843611195,44833,"[NULL]","thread_execution"
40908,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=false,force=false)",53020878435695,45958,"[NULL]","thread_execution"
43563,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=false,force=false)",53021437561987,126166,"[NULL]","thread_execution"
43869,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=false,force=false)",53021523851570,55458,"[NULL]","thread_execution"
44649,"[ExpoImage] onResourceReady",53021609602862,6075250,"[NULL]","thread_execution"
49453,"SurfaceMountingManager::createViewUnsafe(ViewManagerAdapter_ExpoImage)",53022308226820,1548375,"[NULL]","thread_execution"
49454,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=false,force=false)",53022309607945,164292,"[NULL]","thread_execution"
49466,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=false,force=false)",53022311649445,55625,"[NULL]","thread_execution"
49469,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=true,force=false)",53022312221237,710667,"[NULL]","thread_execution"
49471,"[ExpoImage] load new image",53022312643237,285125,"[ExpoImage] load new image","atrace_async_slice"
49492,"[ExpoImage] onResourceReady",53022315081612,297792,"[NULL]","thread_execution"
50025,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=false,force=false)",53022367526279,73458,"[NULL]","thread_execution"
50280,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=false,force=false)",53022390622737,36667,"[NULL]","thread_execution"
57769,"SurfaceMountingManager::createViewUnsafe(ViewManagerAdapter_ExpoImage)",53024192177696,2530084,"[NULL]","thread_execution"
57770,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=false,force=false)",53024194564530,136375,"[NULL]","thread_execution"
57773,"SurfaceMountingManager::createViewUnsafe(ViewManagerAdapter_ExpoImage)",53024194969196,478417,"[NULL]","thread_execution"
57774,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=false,force=false)",53024195429613,16208,"[NULL]","thread_execution"
58017,"SurfaceMountingManager::createViewUnsafe(ViewManagerAdapter_ExpoImage)",53024246114405,951750,"[NULL]","thread_execution"
58018,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=false,force=false)",53024246983655,78791,"[NULL]","thread_execution"
58450,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=true,force=false)",53024306078988,3640125,"[NULL]","thread_execution"
58459,"[ExpoImage] load new image",53024307155363,2553792,"[ExpoImage] load new image","atrace_async_slice"
58703,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=true,force=false)",53024312221571,1251500,"[NULL]","thread_execution"
58705,"[ExpoImage] load new image",53024312594905,127660916,"[ExpoImage] load new image","atrace_async_slice"
58726,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=true,force=false)",53024314545238,306500,"[NULL]","thread_execution"
58728,"[ExpoImage] load new image",53024314675655,173000,"[ExpoImage] load new image","atrace_async_slice"
59429,"[ExpoImage] onResourceReady",53024366549113,445667,"[NULL]","thread_execution"
59452,"[ExpoImage] onResourceReady",53024367002655,100458,"[NULL]","thread_execution"
59930,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=false,force=false)",53024406773821,50667,"[NULL]","thread_execution"
60329,"[ExpoImage] onResourceReady",53024440292280,600833,"[NULL]","thread_execution"
60775,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=false,force=false)",53024473466655,67166,"[NULL]","thread_execution"
60962,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=false,force=false)",53024476635321,32417,"[NULL]","thread_execution"
61229,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=false,force=false)",53024504777571,35792,"[NULL]","thread_execution"
61546,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=false,force=false)",53024531327071,66584,"[NULL]","thread_execution"
63133,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=false,force=false)",53024889130780,1620708,"[NULL]","thread_execution"
63377,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=false,force=false)",53024921987113,43250,"[NULL]","thread_execution"
64560,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=false,force=false)",53025181495947,223875,"[NULL]","thread_execution"
67118,"SurfaceMountingManager::createViewUnsafe(ViewManagerAdapter_ExpoImage)",53025909172822,1038458,"[NULL]","thread_execution"
67119,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=false,force=false)",53025910135447,73500,"[NULL]","thread_execution"
67122,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=false,force=false)",53025911372489,80708,"[NULL]","thread_execution"
67125,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=true,force=false)",53025911837655,2340459,"[NULL]","thread_execution"
67127,"[ExpoImage] load new image",53025913224905,946834,"[ExpoImage] load new image","atrace_async_slice"
67148,"[ExpoImage] onResourceReady",53025916197364,279416,"[NULL]","thread_execution"
67399,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=false,force=false)",53025927967072,207875,"[NULL]","thread_execution"
67690,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=false,force=false)",53025962109739,74833,"[NULL]","thread_execution"
67941,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=false,force=false)",53025979410614,20500,"[NULL]","thread_execution"
75592,"SurfaceMountingManager::createViewUnsafe(ViewManagerAdapter_ExpoImage)",53027760897948,1472750,"[NULL]","thread_execution"
75593,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=false,force=false)",53027762218490,142541,"[NULL]","thread_execution"
75596,"SurfaceMountingManager::createViewUnsafe(ViewManagerAdapter_ExpoImage)",53027762541115,344333,"[NULL]","thread_execution"
75597,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=false,force=false)",53027762870740,13166,"[NULL]","thread_execution"
75806,"SurfaceMountingManager::createViewUnsafe(ViewManagerAdapter_ExpoImage)",53027795932156,827500,"[NULL]","thread_execution"
75807,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=false,force=false)",53027796717615,36458,"[NULL]","thread_execution"
76055,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=true,force=false)",53027837752448,2483792,"[NULL]","thread_execution"
76057,"[ExpoImage] load new image",53027838428615,1802375,"[ExpoImage] load new image","atrace_async_slice"
76123,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=true,force=false)",53027844526240,388958,"[NULL]","thread_execution"
76125,"[ExpoImage] load new image",53027844789198,81476917,"[ExpoImage] load new image","atrace_async_slice"
76145,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=true,force=false)",53027845787406,297667,"[NULL]","thread_execution"
76147,"[ExpoImage] load new image",53027845905781,176417,"[ExpoImage] load new image","atrace_async_slice"
76383,"[ExpoImage] onResourceReady",53027864167448,327667,"[NULL]","thread_execution"
76401,"[ExpoImage] onResourceReady",53027864503656,88417,"[NULL]","thread_execution"
76469,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=false,force=false)",53027867022573,37083,"[NULL]","thread_execution"
76472,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=false,force=false)",53027867723365,9750,"[NULL]","thread_execution"
76476,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=false,force=false)",53027868326448,8083,"[NULL]","thread_execution"
76484,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=false,force=false)",53027869932573,22167,"[NULL]","thread_execution"
77578,"[ExpoImage] onResourceReady",53027926303865,1348541,"[NULL]","thread_execution"
78059,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=false,force=false)",53027959688656,74542,"[NULL]","thread_execution"
78308,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=false,force=false)",53027977159865,19166,"[NULL]","thread_execution"
79531,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=false,force=false)",53028104807990,60833,"[NULL]","thread_execution"
82973,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=false,force=false)",53028837724740,1190792,"[NULL]","thread_execution"
85187,"SurfaceMountingManager::createViewUnsafe(ViewManagerAdapter_ExpoImage)",53029478538740,1325125,"[NULL]","thread_execution"
85189,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=false,force=false)",53029479786865,74500,"[NULL]","thread_execution"
85192,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=false,force=false)",53029481430615,74625,"[NULL]","thread_execution"
85195,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=true,force=false)",53029481863532,1973500,"[NULL]","thread_execution"
85197,"[ExpoImage] load new image",53029482855824,968583,"[ExpoImage] load new image","atrace_async_slice"
85218,"[ExpoImage] onResourceReady",53029486752407,574125,"[NULL]","thread_execution"
85433,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=false,force=false)",53029495784490,322000,"[NULL]","thread_execution"
85791,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=false,force=false)",53029542743365,60167,"[NULL]","thread_execution"
86039,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=false,force=false)",53029561651365,46000,"[NULL]","thread_execution"
94293,"SurfaceMountingManager::createViewUnsafe(ViewManagerAdapter_ExpoImage)",53031132260825,13896416,"[NULL]","thread_execution"
94310,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=false,force=false)",53031143817075,2316416,"[NULL]","thread_execution"
94354,"SurfaceMountingManager::createViewUnsafe(ViewManagerAdapter_ExpoImage)",53031161484283,6912500,"[NULL]","thread_execution"
94355,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=false,force=false)",53031168351075,39750,"[NULL]","thread_execution"
94656,"SurfaceMountingManager::createViewUnsafe(ViewManagerAdapter_ExpoImage)",53031243761450,728375,"[NULL]","thread_execution"
94657,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=false,force=false)",53031244456408,31792,"[NULL]","thread_execution"
95021,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=true,force=false)",53031371468491,4470500,"[NULL]","thread_execution"
95035,"[ExpoImage] load new image",53031375054866,876584,"[ExpoImage] load new image","atrace_async_slice"
95074,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=true,force=false)",53031379315575,10097500,"[NULL]","thread_execution"
95076,"[ExpoImage] load new image",53031379701741,302679834,"[ExpoImage] load new image","atrace_async_slice"
95104,"[ExpoImage] rerenderIfNeeded(shouldRerenderBecauseOfResize=true,force=false)",53031397233783,568333,"[NULL]","thread_execution"
