"cycle","label","tid","name","state","overlap_ms"
0,"destination-measured→takeoff-ready",16871,"RenderThread","Running",69.455000
0,"destination-measured→takeoff-ready",16880,"mqt_v_js","Running",65.286000
0,"destination-measured→takeoff-ready",16838,"oelseisfree.app","R+",58.539000
0,"destination-measured→takeoff-ready",16849,"binder:16838_3","R",54.194000
0,"destination-measured→takeoff-ready",16861,"Measurement Wor","R",47.655000
0,"destination-measured→takeoff-ready",16871,"RenderThread","R+",41.015000
0,"destination-measured→takeoff-ready",16838,"oelseisfree.app","R",36.768000
0,"destination-measured→takeoff-ready",16871,"RenderThread","R",35.704000
0,"destination-measured→takeoff-ready",16942,"glide-disk-cach","R+",34.486000
0,"destination-measured→takeoff-ready",16880,"mqt_v_js","R+",33.349000
0,"destination-measured→takeoff-ready",16906,"FrescoDecodeExe","R",33.154000
0,"destination-measured→takeoff-ready",16942,"glide-disk-cach","Running",24.584000
0,"destination-measured→takeoff-ready",16906,"FrescoDecodeExe","Running",21.806000
0,"destination-measured→takeoff-ready",16903,"FrescoLightWeig","R",17.849000
0,"destination-measured→takeoff-ready",16882,"binder:16838_4","R",15.677000
0,"destination-measured→takeoff-ready",16841,"Jit thread pool","Running",8.451000
0,"destination-measured→takeoff-ready",16862,"queued-work-loo","D",7.935000
0,"destination-measured→takeoff-ready",16881,"mqt_v_native","R",5.295000
0,"destination-measured→takeoff-ready",16982,"GPU completion","R",4.838000
0,"destination-measured→takeoff-ready",16906,"FrescoDecodeExe","R+",3.934000
0,"destination-measured→takeoff-ready",16911,"FrescoIoBoundEx","R",3.266000
0,"destination-measured→takeoff-ready",16911,"FrescoIoBoundEx","Running",2.195000
0,"destination-measured→takeoff-ready",16875,"hwuiTask0","Running",2.007000
0,"destination-measured→takeoff-ready",16862,"queued-work-loo","R+",1.587000
0,"destination-measured→takeoff-ready",16942,"glide-disk-cach","D",1.190000
0,"destination-measured→takeoff-ready",16861,"Measurement Wor","Running",1.141000
0,"destination-measured→takeoff-ready",16911,"FrescoIoBoundEx","D",0.835000
0,"destination-measured→takeoff-ready",16862,"queued-work-loo","Running",0.817000
0,"destination-measured→takeoff-ready",16849,"binder:16838_3","Running",0.652000
0,"destination-measured→takeoff-ready",16903,"FrescoLightWeig","Running",0.569000
0,"destination-measured→takeoff-ready",16881,"mqt_v_native","Running",0.407000
0,"destination-measured→takeoff-ready",16875,"hwuiTask0","R",0.381000
0,"destination-measured→takeoff-ready",16922,"binder:16838_4","R",0.215000
0,"destination-measured→takeoff-ready",16882,"binder:16838_4","Running",0.157000
0,"destination-measured→takeoff-ready",16982,"GPU completion","Running",0.092000
0,"destination-measured→takeoff-ready",16862,"queued-work-loo","R",0.040000
0,"destination-measured→takeoff-ready",16911,"FrescoIoBoundEx","R+",0.016000
0,"destination-measured→takeoff-ready",16922,"binder:16838_4","Running",0.013000
0,"destination-measured→takeoff-ready",16903,"FrescoLightWeig","S",-0.000000
0,"destination-measured→takeoff-ready",16906,"FrescoDecodeExe","S",-0.000000
0,"destination-measured→takeoff-ready",16911,"FrescoIoBoundEx","S",-0.000000
0,"navigate→destination-measured",16871,"RenderThread","S",256.357000
0,"navigate→destination-measured",16882,"binder:16838_4","S",256.357000
0,"navigate→destination-measured",16983,"HWC release","S",256.357000
0,"navigate→destination-measured",16881,"mqt_v_native","S",250.154000
0,"navigate→destination-measured",16889,"ncFunctionQueue","S",249.514000
0,"navigate→destination-measured",16982,"GPU completion","S",249.172000
0,"navigate→destination-measured",16849,"binder:16838_3","S",247.741000
0,"navigate→destination-measured",16922,"binder:16838_4","S",234.936000
0,"navigate→destination-measured",16880,"mqt_v_js","Running",185.392000
0,"navigate→destination-measured",16838,"oelseisfree.app","S",146.373000
0,"navigate→destination-measured",16841,"Jit thread pool","S",76.129000
0,"navigate→destination-measured",16838,"oelseisfree.app","Running",73.571000
0,"navigate→destination-measured",16880,"mqt_v_js","R",63.416000
0,"navigate→destination-measured",16855,"ScionFrontendAp","S",49.225000
0,"navigate→destination-measured",16915,"CookieMonsterCl","S",46.385000
0,"navigate→destination-measured",16924,"OkHttp TaskRunn","S",38.224000
0,"navigate→destination-measured",16927,"OkHttp TaskRunn","S",37.296000
0,"navigate→destination-measured",16902,".0.2.2:8093/...","S",34.319000
0,"navigate→destination-measured",16937,".0.2.2:8093/...","S",33.215000
0,"navigate→destination-measured",16838,"oelseisfree.app","R",32.484000
0,"navigate→destination-measured",16866,"Firebase Backgr","S",24.125000
0,"navigate→destination-measured",16859,"DefaultDispatch","S",23.639000
0,"navigate→destination-measured",16899,"DefaultDispatch","S",22.828000
0,"navigate→destination-measured",16864,"Firebase Backgr","S",22.003000
0,"navigate→destination-measured",16870,"Firebase Blocki","S",21.277000
0,"navigate→destination-measured",16861,"Measurement Wor","R+",16.888000
0,"navigate→destination-measured",16861,"Measurement Wor","S",14.452000
0,"navigate→destination-measured",16937,".0.2.2:8093/...","R",9.634000
0,"navigate→destination-measured",16861,"Measurement Wor","Running",8.965000
0,"navigate→destination-measured",16902,".0.2.2:8093/...","R",8.390000
0,"navigate→destination-measured",16849,"binder:16838_3","R",8.214000
0,"navigate→destination-measured",16880,"mqt_v_js","R+",7.548000
0,"navigate→destination-measured",16982,"GPU completion","R",7.167000
0,"navigate→destination-measured",16902,".0.2.2:8093/...","Running",6.071000
0,"navigate→destination-measured",16862,"queued-work-loo","S",5.312000
0,"navigate→destination-measured",16889,"ncFunctionQueue","R+",5.312000
0,"navigate→destination-measured",16937,".0.2.2:8093/...","R+",5.296000
0,"navigate→destination-measured",16902,".0.2.2:8093/...","R+",4.882000
0,"navigate→destination-measured",16861,"Measurement Wor","R",4.847000
0,"navigate→destination-measured",16937,".0.2.2:8093/...","Running",4.758000
0,"navigate→destination-measured",16881,"mqt_v_native","R",4.233000
0,"navigate→destination-measured",16861,"Measurement Wor","D",4.085000
0,"navigate→destination-measured",16838,"oelseisfree.app","R+",3.929000
0,"navigate→destination-measured",16881,"mqt_v_native","Running",1.969000
0,"navigate→destination-measured",16899,"DefaultDispatch","Running",1.249000
0,"navigate→destination-measured",16866,"Firebase Backgr","Running",1.164000
0,"navigate→destination-measured",16862,"queued-work-loo","R",1.159000
0,"navigate→destination-measured",16889,"ncFunctionQueue","Running",1.106000
0,"navigate→destination-measured",16927,"OkHttp TaskRunn","R",0.949000
0,"navigate→destination-measured",16841,"Jit thread pool","Running",0.777000
0,"navigate→destination-measured",16924,"OkHttp TaskRunn","Running",0.619000
0,"navigate→destination-measured",16915,"CookieMonsterCl","Running",0.583000
0,"navigate→destination-measured",16870,"Firebase Blocki","R",0.491000
0,"navigate→destination-measured",16915,"CookieMonsterCl","R",0.440000
0,"navigate→destination-measured",16855,"ScionFrontendAp","Running",0.431000
0,"navigate→destination-measured",16864,"Firebase Backgr","Running",0.429000
0,"navigate→destination-measured",16899,"DefaultDispatch","R",0.420000
0,"navigate→destination-measured",16937,".0.2.2:8093/...","D",0.419000
0,"navigate→destination-measured",16924,"OkHttp TaskRunn","R",0.404000
0,"navigate→destination-measured",16889,"ncFunctionQueue","D",0.351000
0,"navigate→destination-measured",16849,"binder:16838_3","Running",0.335000
0,"navigate→destination-measured",16855,"ScionFrontendAp","R",0.293000
0,"navigate→destination-measured",16927,"OkHttp TaskRunn","Running",0.254000
0,"navigate→destination-measured",16870,"Firebase Blocki","Running",0.246000
0,"navigate→destination-measured",16862,"queued-work-loo","Running",0.214000
0,"navigate→destination-measured",16927,"OkHttp TaskRunn","R+",0.199000
0,"navigate→destination-measured",16859,"DefaultDispatch","Running",0.183000
0,"navigate→destination-measured",16859,"DefaultDispatch","R",0.161000
0,"navigate→destination-measured",16866,"Firebase Backgr","R+",0.150000
0,"navigate→destination-measured",16866,"Firebase Backgr","R",0.101000
0,"navigate→destination-measured",16864,"Firebase Backgr","R",0.091000
0,"navigate→destination-measured",16841,"Jit thread pool","R",0.079000
0,"navigate→destination-measured",16889,"ncFunctionQueue","R",0.073000
0,"navigate→destination-measured",16849,"binder:16838_3","R+",0.066000
0,"navigate→destination-measured",16922,"binder:16838_4","Running",0.066000
0,"navigate→destination-measured",16982,"GPU completion","Running",0.018000
0,"navigate→destination-measured",16862,"queued-work-loo","R+",0.006000
0,"navigate→destination-measured",16922,"binder:16838_4","R",0.006000
0,"opening",16983,"HWC release","S",1025.702000
0,"opening",16881,"mqt_v_native","S",1023.343000
0,"opening",16982,"GPU completion","S",1013.417000
0,"opening",16882,"binder:16838_4","S",1012.652000
0,"opening",16889,"ncFunctionQueue","S",1007.005000
0,"opening",16922,"binder:16838_4","S",990.843000
0,"opening",16849,"binder:16838_3","S",971.954000
0,"opening",16855,"ScionFrontendAp","S",806.711000
0,"opening",16915,"CookieMonsterCl","S",803.871000
0,"opening",16924,"OkHttp TaskRunn","S",795.710000
0,"opening",16927,"OkHttp TaskRunn","S",794.782000
0,"opening",16902,".0.2.2:8093/...","S",791.805000
0,"opening",16937,".0.2.2:8093/...","S",790.701000
0,"opening",16866,"Firebase Backgr","S",781.611000
0,"opening",16859,"DefaultDispatch","S",781.125000
0,"opening",16899,"DefaultDispatch","S",780.314000
0,"opening",16864,"Firebase Backgr","S",779.489000
0,"opening",16870,"Firebase Blocki","S",778.763000
0,"opening",16871,"RenderThread","S",771.885000
0,"opening",16862,"queued-work-loo","S",752.418000
0,"opening",16861,"Measurement Wor","S",674.284000
0,"opening",16875,"hwuiTask0","S",654.028000
0,"opening",16841,"Jit thread pool","S",545.858000
0,"opening",16880,"mqt_v_js","Running",489.468000
0,"opening",16838,"oelseisfree.app","S",458.904000
0,"opening",16850,"Profile Saver","S",422.688000
0,"opening",16838,"oelseisfree.app","Running",329.593000
0,"opening",16942,"glide-disk-cach","R",291.707000
0,"opening",16880,"mqt_v_js","R",288.262000
0,"opening",16942,"glide-disk-cach","R+",258.737000
0,"opening",16880,"mqt_v_js","S",180.635000
0,"opening",16838,"oelseisfree.app","R",162.186000
0,"opening",16841,"Jit thread pool","R",150.625000
0,"opening",16871,"RenderThread","Running",136.242000
0,"opening",16841,"Jit thread pool","R+",114.278000
0,"opening",16838,"oelseisfree.app","R+",113.434000
0,"opening",16880,"mqt_v_js","R+",103.999000
0,"opening",16871,"RenderThread","R",100.320000
0,"opening",16942,"glide-disk-cach","Running",87.963000
0,"opening",16988,"glide-disk-cach","S",82.307000
0,"opening",16942,"glide-disk-cach","S",75.480000
0,"opening",16849,"binder:16838_3","R",70.700000
0,"opening",16987,"glide-disk-cach","S",62.642000
0,"opening",16861,"Measurement Wor","R",58.092000
0,"opening",16871,"RenderThread","R+",55.670000
0,"opening",16906,"FrescoDecodeExe","R",33.154000
0,"opening",16882,"binder:16838_4","R",30.399000
0,"opening",16861,"Measurement Wor","R+",28.389000
0,"opening",16861,"Measurement Wor","D",27.783000
0,"opening",16841,"Jit thread pool","Running",23.710000
0,"opening",16906,"FrescoDecodeExe","Running",21.806000
0,"opening",16942,"glide-disk-cach","D",18.211000
0,"opening",16861,"Measurement Wor","Running",18.175000
0,"opening",16903,"FrescoLightWeig","R",17.849000
0,"opening",16987,"glide-disk-cach","R+",15.937000
0,"opening",16987,"glide-disk-cach","R",14.992000
0,"opening",16987,"glide-disk-cach","Running",14.521000
0,"opening",16982,"GPU completion","R",12.189000
0,"opening",16881,"mqt_v_native","R",11.813000
0,"opening",16987,"glide-disk-cach","D",11.434000
0,"opening",16850,"Profile Saver","R",11.117000
0,"opening",16937,".0.2.2:8093/...","R",9.634000
0,"opening",16990,"glide-disk-cach","R+",8.495000
0,"opening",16902,".0.2.2:8093/...","R",8.390000
0,"opening",16862,"queued-work-loo","D",7.935000
0,"opening",16889,"ncFunctionQueue","R+",7.812000
0,"opening",16881,"mqt_v_native","Running",6.496000
0,"opening",16902,".0.2.2:8093/...","Running",6.071000
0,"opening",16937,".0.2.2:8093/...","R+",5.296000
0,"opening",16902,".0.2.2:8093/...","R+",4.882000
0,"opening",16937,".0.2.2:8093/...","Running",4.758000
0,"opening",16906,"FrescoDecodeExe","R+",3.934000
0,"opening",16911,"FrescoIoBoundEx","R",3.266000
0,"opening",16889,"ncFunctionQueue","Running",2.198000
0,"opening",16911,"FrescoIoBoundEx","Running",2.195000
0,"opening",16875,"hwuiTask0","Running",2.007000
0,"opening",16862,"queued-work-loo","R+",1.594000
0,"opening",16922,"binder:16838_4","R",1.558000
0,"opening",16899,"DefaultDispatch","Running",1.249000
0,"opening",16862,"queued-work-loo","R",1.199000
0,"opening",16866,"Firebase Backgr","Running",1.164000
0,"opening",16849,"binder:16838_3","Running",1.049000
0,"opening",16862,"queued-work-loo","Running",1.032000
0,"opening",16927,"OkHttp TaskRunn","R",0.949000
0,"opening",16911,"FrescoIoBoundEx","D",0.835000
0,"opening",16990,"glide-disk-cach","Running",0.827000
0,"opening",16988,"glide-disk-cach","R",0.688000
0,"opening",16924,"OkHttp TaskRunn","Running",0.619000
0,"opening",16915,"CookieMonsterCl","Running",0.583000
0,"opening",16903,"FrescoLightWeig","Running",0.569000
0,"opening",16870,"Firebase Blocki","R",0.491000
0,"opening",16915,"CookieMonsterCl","R",0.440000
0,"opening",16855,"ScionFrontendAp","Running",0.431000
0,"opening",16864,"Firebase Backgr","Running",0.429000
0,"opening",16882,"binder:16838_4","Running",0.420000
0,"opening",16899,"DefaultDispatch","R",0.420000
0,"opening",16937,".0.2.2:8093/...","D",0.419000
0,"opening",16924,"OkHttp TaskRunn","R",0.404000
0,"opening",16875,"hwuiTask0","R",0.381000
0,"opening",16889,"ncFunctionQueue","D",0.377000
0,"opening",16855,"ScionFrontendAp","R",0.293000
0,"opening",16982,"GPU completion","Running",0.278000
0,"opening",16850,"Profile Saver","Running",0.262000
0,"opening",16927,"OkHttp TaskRunn","Running",0.254000
0,"opening",16870,"Firebase Blocki","Running",0.246000
0,"opening",16927,"OkHttp TaskRunn","R+",0.199000
0,"opening",16859,"DefaultDispatch","Running",0.183000
0,"opening",16859,"DefaultDispatch","R",0.161000
0,"opening",16866,"Firebase Backgr","R+",0.150000
0,"opening",16866,"Firebase Backgr","R",0.101000
0,"opening",16922,"binder:16838_4","Running",0.093000
0,"opening",16864,"Firebase Backgr","R",0.091000
0,"opening",16889,"ncFunctionQueue","R",0.080000
0,"opening",16849,"binder:16838_3","R+",0.066000
0,"opening",16988,"glide-disk-cach","Running",0.066000
0,"opening",16983,"HWC release","Running",0.029000
0,"opening",16911,"FrescoIoBoundEx","R+",0.016000
0,"opening",16850,"Profile Saver","R+",0.005000
0,"opening",16903,"FrescoLightWeig","S",-0.000000
0,"opening",16906,"FrescoDecodeExe","S",-0.000000
0,"opening",16911,"FrescoIoBoundEx","S",-0.000000
0,"opening",16987,"glide-disk-cach","X",-0.000000
0,"opening",16990,"glide-disk-cach","X",-0.000000
0,"takeoff-ready→animation-requested",16849,"binder:16838_3","S",398.476000
