"id","ts","clock_id","clock_name","clock_value","snapshot_id","machine_id"
0,53012482375107,6,"BOOTTIME",53012482375107,0,0
1,53012482375107,2,"REALTIME_COARSE",1788846112733000165,0,0
2,53012482375107,4,"MONOTONIC_COARSE",53012477560066,0,0
3,53012482375107,1,"REALTIME",1788846112737815248,0,0
4,53012482375107,3,"MONOTONIC",53012482375191,0,0
5,53012482375107,5,"MONOTONIC_RAW",53012482375236,0,0
6,53012482398024,6,"BOOTTIME",53012482398024,1,0
7,53012482398024,2,"REALTIME_COARSE",1788846112733000165,1,0
8,53012482398024,4,"MONOTONIC_COARSE",53012477560066,1,0
9,53012482398024,1,"REALTIME",1788846112737838165,1,0
10,53012482398024,3,"MONOTONIC",53012482398107,1,0
11,53012482398024,5,"MONOTONIC_RAW",53012482398111,1,0

"start_ts","end_ts"
53012810816733,53057502178962
